"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Drohan P.J.; Farnham T.J.","Drohan, P.J. (8728604300); Farnham, T.J. (24536898400)","8728604300; 24536898400","Protecting life's foundation: A proposal for recognizing rare and threatened soils","2006","Soil Science Society of America Journal","70","6","","2086","2096","10","17","10.2136/sssaj2005.0274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751118750&doi=10.2136%2fsssaj2005.0274&partnerID=40&md5=aadc37e9e9648cf97648b1644087d468","Worldwide pressure on soil resources and the recognition by many international organizations, scientists, and universities of the importance of soils to humans and the natural world lias recently led to further exploration of soils and their rarity. Using the example of species protection from wildlife conservation, we define a rare soil as one of limited ureal extent and a threatened soil as one of greater areal extent undergoing a transformation that alters the soil's characteristics and function and makes it less able to carry out that characteristic or function (e.g., growing food or supporting a native plant community). We propose a process to recognize natural rare and/or threatened soils based on five categories that could be used to describe the values associated with these soils: (1) economic; (2) ecosystem; (3) scientific; (4) historic/cultural; and (5) rarity. We propose not a legally binding designation, but a program modeled on several successful wildlife-oriented conservation awareness and education programs. We aim to create a non-politically mired system that draws attention to rare and threatened soils and their role in supporting people and ecosystems while lending support to the soils' study and management. Land-use planners might find this system valuable in helping to identify ecologically important areas. Conservation organizations might find the scientifically based assessments of soil value useful in defining their designations of important conservation areas. The publicity generated by designating rare and threatened soils might help U.S. citizens and politicians appreciate the importance of soils in so many aspects of our lives. © Soil Science Society of America.","","Biodiversity; Education; Land use; Plants (botany); Societies and institutions; Soil surveys; Biodiversity; Education; Land use; Plants (botany); Societies and institutions; land use planning; nature-society relations; soil analysis; soil conservation; soil degradation; soil property; International organizations; Species protection; Wildlife conservation; Soil surveys","English","Article","Final","","Scopus","2-s2.0-33751118750"
"Xiao S.; Fügener T.; Wende W.; Yan W.; Chen H.; Syrbe R.; Xue B.","Xiao, S. (57458810000); Fügener, T. (57211484721); Wende, W. (13610412300); Yan, W. (57667572100); Chen, H. (57222054724); Syrbe, R. (6507754862); Xue, B. (57647761500)","57458810000; 57211484721; 13610412300; 57667572100; 57222054724; 6507754862; 57647761500","The dynamics of vegetation and implications for ecosystem services in the context of urbanisation: An example from Huangyan-Taizhou, China","2022","Ecological Engineering","179","","106614","","","","4","10.1016/j.ecoleng.2022.106614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126901022&doi=10.1016%2fj.ecoleng.2022.106614&partnerID=40&md5=e86451517584fb54598419c21cd3ba2c","Urban sprawl and associated land use changes have been referred as primary drivers of environmental change. Yet it is unclear in detail how land use changes impact vegetative structures or ecosystem services and what the specific drivers of change are, especially in urban-rural interfaces in medium-sized Chinese cities. Our future contribution is intended to highlight the importance of urban-rural interfaces for sustainable land use and the development of ecosystem services. To this end, we mapped the dynamics of land cover and the condition of vegetation as well as ecosystem services based on remote sensing data for the period of 1992–2020, to quantify these changes in Huangyan district, Taizhou, China. The results show a dramatic increase in urban area over the 28-year timeframe, i.e. 265% growth in Huangyan district. This rise was particularly evident in the period of 2015–2020. The huge expansion in urban area came at the cost of arable land. To compensate the resulting loss of farmland, large-scale natural ecosystems such as forests, grasslands and wetlands were continuously transformed into arable (as well as urbanized) land. Despite the dramatic reduction in green space as a result of urbanisation, we found a slight increase in the overall mean NDVI value for Huangyan, mainly due to the improved condition and density of remaining forest area in the western countryside. Further, we evaluated the provision of ecosystem services (ESS) by adapting an existing assessment methodology elaborated by Burkhard et al. (2012). The results show that ESS supply continually fell in Huangyan since 1992, reflecting a reduction of green space. The highest ecosystem capacity is seen in recreation and biodiversity due to the large proportion of forested area. Our findings serve as an important basis for further investigations in the region of Huangyan by framing the general issue of green space dynamics and highlighting specific developments of ecosystem distribution and change as well as ESS supply. © 2022 The Authors","China; Ecosystem services; NDVI; Remote sensing; Urban sprawl; Vegetation structure","China; Huangyan; Taizhou; Zhejiang; Biodiversity; Dynamics; Ecosystems; Forestry; Land use; Rural areas; Space optics; Urban growth; Vegetation; China; Ecosystem services; Green spaces; Landuse change; NDVI; Remote-sensing; Taizhou; Urban sprawl; Urban/rural interfaces; Vegetation structure; biodiversity; ecosystem service; land use change; NDVI; remote sensing; urban society; urban sprawl; urbanization; vegetation dynamics; Remote sensing","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85126901022"
"Zvoleff A.; An L.","Zvoleff, Alex (26641626500); An, Li (7102775296)","26641626500; 7102775296","Analyzing human-landscape interactions: Tools that integrate","2014","Environmental Management","53","1","","94","111","17","28","10.1007/s00267-012-0009-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891884068&doi=10.1007%2fs00267-012-0009-1&partnerID=40&md5=891a20dfd1cfcea82dc1b3bf85b7f5dc","Humans have transformed much of Earth's land surface, giving rise to loss of biodiversity, climate change, and a host of other environmental issues that are affecting human and biophysical systems in unexpected ways. To confront these problems, environmental managers must consider human and landscape systems in integrated ways. This means making use of data obtained from a broad range of methods (e.g., sensors, surveys), while taking into account new findings from the social and biophysical science literatures. New integrative methods (including data fusion, simulation modeling, and participatory approaches) have emerged in recent years to address these challenges, and to allow analysts to provide information that links qualitative and quantitative elements for policymakers. This paper brings attention to these emergent tools while providing an overview of the tools currently in use for analysis of human-landscape interactions. Analysts are now faced with a staggering array of approaches in the human-landscape literature - in an attempt to bring increased clarity to the field, we identify the relative strengths of each tool, and provide guidance to analysts on the areas to which each tool is best applied. We discuss four broad categories of tools: statistical methods (including survival analysis, multi-level modeling, and Bayesian approaches), GIS and spatial analysis methods, simulation approaches (including cellular automata, agent-based modeling, and participatory modeling), and mixed-method techniques (such as alternative futures modeling and integrated assessment). For each tool, we offer an example from the literature of its application in human-landscape research. Among these tools, participatory approaches are gaining prominence for analysts to make the broadest possible array of information available to researchers, environmental managers, and policymakers. Further development of new approaches of data fusion and integration across sites or disciplines pose an important challenge for future work in integrating human and landscape components. © 2013 Springer Science+Business Media New York.","Coupled human-natural system; Human-environment dynamics; Modeling; Simulation; Spatial analysis","Climate Change; Conservation of Natural Resources; Earth (Planet); Ecosystem; Human Activities; Humans; Models, Theoretical; Regression Analysis; Bayesian networks; Biodiversity; Cellular automata; Climate change; Computer simulation; Data fusion; Environmental management; Management; Models; Coupled human-natural systems; Environmental managers; Human-environment dynamics; Integrated assessment; Participatory approach; Participatory modeling; Simulation; Spatial analysis; climate change; climate effect; GIS; nature-society relations; participatory approach; policy making; quantitative analysis; spatial analysis; article; Bayesian learning; biophysics; controlled study; data processing; environmental management; geographic information system; human; landscape ecology; manager; multilevel analysis; sensor; simulation; sociology; spatial analysis; statistical analysis; survival; Tools","English","Article","Final","","Scopus","2-s2.0-84891884068"
"He M.; Xiong L.; Ding Y.; Yang W.","He, Mengfan (58314510900); Xiong, Lejia (58314511000); Ding, Ying (58315993600); Yang, Weishu (58314511100)","58314510900; 58314511000; 58315993600; 58314511100","Innovative Development and Utilization of Agricultural Cultural Heritage Enabled by Digital Technologies; [数字技术赋能农业文化遗产开发与利用对策研究]","2023","Journal of Library and Information Science in Agriculture","35","3","","71","80","9","0","10.13998/j.cnki.issn1002-1248.22-0822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161959580&doi=10.13998%2fj.cnki.issn1002-1248.22-0822&partnerID=40&md5=ac6cd09301f289a9c2d0b4931a37da6a","[Purpose/Significance] The agricultural cultural heritage embodies the traditional farming wisdom, unique natural scenery and rich biodiversity formed through hundreds and thousands of years of inheritance. The study of digital technology-enabled development and utilization of agricultural cultural heritage is conducive to fully exploring the modern value of agricultural cultural heritage, strengthening the integrated interaction with the key work of rural revitalization, such as the development of modern agriculture, the construction of beautiful countryside, the construction of ecological civilization, and the entrepreneurship and innovation of farmers. On top of that, it is beneficial to the sustainable development of agricultural cultural heritage and is related to the successful implementation of the rural revitalization strategy. [Method/Process] By using the methods of literature analysis, case study and field survey, the current status and problems of agricultural cultural heritage are comprehensively reviewed. There are some problems, such as insufficient application of innovation in agricultural cultural heritage areas and inadequate value exploration. In this regard, the article puts forward several measures for the development and utilization of agricultural cultural heritage resources enabled by digital technologies after the analysis of digital management of agricultural cultural heritage resources, including building public brands in agricultural cultural heritage areas to form industrial clusters. This article takes ""Anhua Black Tea"" as an example to analyze the brand digital marketing mechanism and takes Li Ziqi's short videos as another example to analyze how to attract e-commerce traffic and realize traffic in the new media era and build a local brand with local characteristics with the help of ""Internet plus Agriculture."" It provides ideas and solutions for the development and utilization of digital technology-enabled agricultural cultural heritage. [Results/Conclusions] With the transformation of social economy, the traditional production mode of agricultural cultural heritage can no longer meet the needs of modern society. In order to make agricultural cultural heritage continue to ""live"", it is necessary to explore its multiple values, enable the modernization transformation of agricultural cultural heritage with the help of digital technology, realize its living state inheritance, improve the comprehensive benefits of agricultural cultural heritage and maintain sustainable development. The study explores the digital development, open communication, new scene construction and innovative utilization of agricultural cultural heritage, which can be realized through the Internet and digital technologies. Agricultural cultural heritage has many characteristics, such as brand differentiation, brand subdivision, and precise description of natural scenery, high-quality agricultural products and cultural connotation of agricultural cultural heritage. With the help of new media marketing, the ecological advantages and industrial value of agricultural cultural heritage system are explored to maximize the value of resources. A limitation of this study is that there still lacks quantitative analysis. Future research will use structural equation model and other tools to analyze the factors that affect the conversion rate of agricultural account traffic from multiple aspects such as video content, audience and platforms. © 2022 Institute of Cultural Heritage of the Academy of Sciences of Moldova. All rights reserved.","agricultural cultural heritage; digital technology; new media; platform economy; traffic","","Chinese","Article","Final","","Scopus","2-s2.0-85161959580"
"Wisniewski J.-P.; Frangne N.; Massonneau A.; Dumas C.","Wisniewski, Jean-Pierre (7102431046); Frangne, Nathalie (6602780933); Massonneau, Agnès (6603178722); Dumas, Christian (7101937516)","7102431046; 6602780933; 6603178722; 7101937516","Between myth and reality: Genetically modified maize, an example of a sizeable scientific controversy","2002","Biochimie","84","11","","1095","1103","8","34","10.1016/S0300-9084(02)00014-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036881648&doi=10.1016%2fS0300-9084%2802%2900014-7&partnerID=40&md5=280fd0d591b3a15b453f90b56d827b96","Maize is a major crop plant with essential agronomical interests and a model plant for genetic studies. With the development of plant genetic engineering technology, many transgenic strains of this monocotyledonous plant have been produced over the past decade. In particular, field-cultivated insect-resistant Bt-maize hybrids are at the centre of an intense debate between scientists and organizations recalcitrant to genetically modified organisms (GMOs). This debate, which addresses both safety and ethical aspects, has raised questions about the impact of genetically modified (GM) crops on the biodiversity of traditional landraces and on the environment. Here, we review some of the key points of maize genetic history as well as the methods used to stably transform this cereal. We describe the genetically engineered Bt-maizes available for field cultivation and we investigate the controversial reports on their impacts on non-target insects such as the monarch butterfly and on the flow of transgenes into Mexican maize landraces. © 2002 Éditions scientifiques et médicales Elsevier SAS and Société française de biochimie et biologie moléculaire. All rights reserved.","Genetically modified (GM); Maize; Plant transformation; Scientific controversy","Animals; Butterflies; Genetic Engineering; Organisms, Genetically Modified; Plants, Genetically Modified; Transformation, Genetic; Zea mays; Danaus plexippus; Hexapoda; Insecta; Zea mays; plant DNA; butterfly; cereal; conference paper; DNA modification; gene flow; genetic engineering; genetic organization; genetic strain; genetic transformation; genome; insect resistance; landrace; maize; molecular evolution; mutant; nonhuman; plant evolution; plant genetics; plant insect interaction; Rhizobium; strain improvement; tillage; transgene; transgenic plant","English","Conference paper","Final","","Scopus","2-s2.0-0036881648"
"Morganti P.; Chen H.-D.","Morganti, P. (7005392688); Chen, Hong-Duo (35242107400)","7005392688; 35242107400","From the circular economy to a green economy. Note 1. Chitin Nanofibrils as natural by-products to manage the human and environment ecosystems","2015","Journal of Applied Cosmetology","33","3-4","","101","113","12","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992093895&partnerID=40&md5=17c4a2aaff2e68899e7d39a6fe5b42cc","The transition to a high level of human development has created a negative ecological footprint, putting a disproportionate burden on the environment. Thus the necessity for increasing the resource efficiency, minimizing both harmful greenhouse gas emissions and waste material, to transform the actual circular economy to a green economy with waste near to zero. The transition to a green economy could reduce the risks of global climate changes and ameliorate the energy security, because of its capacity to use in a better way both natural resources and waste materials. The annual cost in natural capital degradation, in fact, is estimated at US$ 7.3 trillion, almost six time the cost of greening the economy, while ∼2 billion tons of wasted food is produced on the planet together with 50 million tons of electrical waste. Therefore, the necessity to change our way of living is a must of our society. Among the use of industrial by-products, a major use of raw materials, as chitin nanofibrils obtained from crustaceans waste, will certainly contribute to accelerate the passage from a circular economy to a green economy, safeguarding the planet biodiversity also. Data and examples of this use will be reported.","Biocomposites; Chitin Nanofibrils; Circular Economy; Environment; EU economic pillars; Green Economy; Plastic pollution; Waste","chitin; nanofiber; plastic; Article; biodiversity; carbon footprint; crystallization; economic aspect; economic development; ecosystem; ecosystem resilience; global climate; green chemistry; natural resource; nonhuman; pollution; polymer production; social evolution; surface area; sustainable development","English","Article","Final","","Scopus","2-s2.0-84992093895"
"McNeely J.A.","McNeely, Jeffrey A. (7005031290)","7005031290","Forest biodiversity at the ecosystem level: Where do people fit in?","2002","Unasylva","53","209","","10","15","5","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036273566&partnerID=40&md5=6f9f46ce005e5cb2d6edd2e8e2cf5a75","It is now widely accepted that biodiversity is the measure of biological variety at many scales, from the gene to the ecosystem. Much attention has been given to diversity of species within forests, especially trees that are being harvested. The challenge is to see the forest for the trees: How can the idea of biodiversity at the ecosystem level be translated into practical action for better management of forest ecosystems? The definition of ""ecosystem"" is reasonably well agreed. For example, the Convention on Biological Diversity (CBD) defines the term as ""a dynamic complex of plant, animal and micro-organism communities and their non-living environment interacting as a functional unit"". The living components of an ecosystem interact in very complex food webs (Schoener, 1989). Ecosystem approaches to forest management take into consideration the complexity of these interactions and seek both to maintain the productivity of forest ecosystems and to enhance their capacity to adapt to change. Focusing on the ecosystem level provides a strong basis for solving critical problems in resource management. For example, conserving forest biodiversity at the ecosystem level helps to support services such as maintaining the balance of atmospheric gases, recycling nutrients, regulating climate, maintaining hydrological cycles and creating soil (Daily, 1997). While scientists are still developing their understanding of the relationships among taxonomic diversity, productivity, stability and adaptability of ecosystems, new research indicates that species diversity enhances the productive capacity of many forest ecosystems and their ability to adapt to changing conditions (Johnson et al., 1996). Another important implication of considering forest biodiversity at the ecosystem level is the potential of mismanagement leading to the essentially permanent transformation of a highly productive forest into a much less productive system (such as a grassland). Recent research has indicated that even gradual changes in climate, the flow of nutrients, extraction of natural resources and habitat fragmentation can lead to sudden drastic switches in the character of a forest ecosystem (Scheffer et al., 2001). While many different factors can lead to such shifts, a critical factor is a loss of resilience (the ability to recover from external events) through declining biodiversity at the ecosystem level. In seeking to apply ecosystem approaches to forest biodiversity, especially forests that are being influenced by increasing levels of use by people, it is helpful to focus on some key questions. First, are people part of forest ecosystems? Second, what are the impacts of human harvesting on forest ecosystems? Third, how can forest ecosystems be managed so that they provide both the goods and the services that are required by modern society? This article briefly explores these key issues, and indicates appropriate lines of action to be taken in future.","","biodiversity; ecosystem management; forest ecosystem; forest management; species diversity","English","Article","Final","","Scopus","2-s2.0-0036273566"
"Kulkarni C.; Finsinger W.; Anand P.; Nogué S.; Bhagwat S.A.","Kulkarni, Charuta (57189467575); Finsinger, Walter (55988352400); Anand, Pallavi (14827909300); Nogué, Sandra (24344354300); Bhagwat, Shonil A. (56207846800)","57189467575; 55988352400; 14827909300; 24344354300; 56207846800","Synergistic impacts of anthropogenic fires and aridity on plant diversity in the Western Ghats: Implications for management of ancient social-ecological systems","2021","Journal of Environmental Management","283","","111957","","","","2","10.1016/j.jenvman.2021.111957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099636945&doi=10.1016%2fj.jenvman.2021.111957&partnerID=40&md5=40d9268f4bf5d99d8dabad13d5e28312","Identifying the impacts of anthropogenic fires on biodiversity is imperative for human-influenced tropical rainforests because: i) these ecosystems have been transformed by human-induced fires for millennia; and ii) their effective management is essential for protecting the world's terrestrial biodiversity in the face of global environmental change. While several short-term studies elucidate the impacts of fires on local plant diversity, how plant diversity responds to fire regimes over long timescales (>100 years) is a significant knowledge gap, posing substantial impediment to evidence-based management of tropical social-ecological systems. Using wet evergreen forests of the Western Ghats of India as a model system, we discuss the synergistic effects of anthropogenic fires and enhanced aridity on tropical plant diversity over the past 4000 years by examining fossil pollen-based diversity indices (e.g., pollen richness and evenness, and temporal β-diversity), past fire management, the intervals of enhanced aridity due to reduced monsoon rainfall and land use history. By developing a historical perspective, our aim is to provide region-specific management information for biodiversity conservation in the Western Ghats. We observe that the agroforestry landscape switches between periods of no fires (4000-1800 yr BP, and 1400-400 yr BP) and fires (1800-1400 yr BP, and 400-0 yr BP), with both fire periods concomitant with intervals of enhanced aridity. We find synergistic impacts of anthropogenic fires and aridity on plant diversity uneven across time, pointing towards varied land management strategies implemented by the contemporary societies. For example, during 1800–1400 yr BP, diversity reduced in conjunction with a significant decrease in the canopy cover related to sustained use of fires, possibly linked to large-scale intensification of agriculture. On the contrary, the substantially reduced fires during 400–0 yr BP may be associated with the emergence of sacred forest groves, a cultural practice supporting the maintenance of plant diversity. Overall, notwithstanding apparent changes in fires, aridity, and land use over the past 4000 years, present-day plant diversity in the Western Ghats agroforestry landscape falls within the range of historical variability. Importantly, we find a strong correlation between plant diversity and canopy cover, emphasising the crucial role of maintenance of trees in the landscape for biodiversity conservation. Systematic tree management in tropical social-ecological systems is vital for livelihoods of billions of people, who depend on forested landscapes. In this context, we argue that agroforestry landscapes can deliver win-win solutions for biodiversity as well as people in the Western Ghats and wet tropics at large. © 2021 Elsevier Ltd","Agroforestry; Biodiversity conservation; Evidence-based policymaking; Fire management; Social-ecological systems; Wet tropics","Biodiversity; Ecosystem; Fires; Forests; Humans; India; rain; agroforestry; anthropogenic fire; Antiquity; aridity; Article; biodiversity; canopy; conservation biology; correlation coefficient; ecological phenomena and functions; environmental change; environmental impact; environmental management; evergreen rain forest; evidence based practice; fire and fire related phenomena; fire ecology; fire protection; fossil pollen; geographic and geological phenomena; India; land use; landscape ecology; monsoon climate; nonhuman; paleoecology; plant; plant ecology; prehistoric period; society; species diversity; species richness; tropical rain forest; western ghats; biodiversity; ecosystem; fire; forest; human","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85099636945"
"Ganguly S.","Ganguly, Sunayana (57094576700)","57094576700","Deliberating environment policy in India: Participation and the role of advocacy","2015","Deliberating Environment Policy in India: Participation and the Role of Advocacy","","","","1","186","185","2","10.4324/9781315744476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037035092&doi=10.4324%2f9781315744476&partnerID=40&md5=ca2660bf58e243779a7c937a0a9c0133","As one of the world’s largest and most bio-diverse countries, India’s approach to environmental policy will be very significant in tackling global environmental challenges. This book explores the transformations that have taken place in the making of environmental policy in India since the economic liberalization of the 1990s. It investigates if there has been a slow shift from top-down planning to increasingly bottom up and participatory policy processes, examining the successes and failures of recent environmental policies. Linking deliberation to collective action, this book contends that it is crucial to involve local actors in framing the policies that decide on their rights and control over bio-resources in order to achieve the goal of sustainable human development. The first examples of large-scale participatory processes in Indian environmental policy were the 1999 National Biodiversity Strategy Action Plan and the 2006 Scheduled Tribes and Other Traditional Forest Dwellers Act. This book explores these landmark policies, exploring the strategies of advocacy and deliberation that led to both the successes and failures of recent initiatives. It concludes that in order to deliberate with the state, civil society actors must engage in forms of strategic advocacy with the power to push agendas that challenge mainstream development discourses. The lessons learnt from the Indian experience will not only have immediate significance for the future of policy making in India, but they will also be of interest for other countries faced with the challenges of integrating livelihood and sustainability concerns into the governance process. © 2016 Sunayana Ganguly.","","","English","Book","Final","","Scopus","2-s2.0-85037035092"
"Denoël M.; Joly P.; Whiteman H.H.","Denoël, Mathieu (6701790300); Joly, Pierre (55860861700); Whiteman, Howard H. (57203315567)","6701790300; 55860861700; 57203315567","Evolutionary ecology of facultative paedomorphosis in newts and salamanders","2005","Biological Reviews of the Cambridge Philosophical Society","80","4","","663","671","8","121","10.1017/S1464793105006858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644824039&doi=10.1017%2fS1464793105006858&partnerID=40&md5=e61da650f34699b4230b1fc3897747e3","Facultative paedomorphosis is an environmentally induced polymorphism that results in the coexistence of mature, gilled, and fully aquatic paedomorphic adults and transformed, terrestrial, metamorphic adults in the same population. This polymorphism has been of interest to scientists for decades because it occurs in a large number of caudate amphibian taxa as well as in a large diversity of habitats. Numerous experimental and observational studies have been conducted to explain the proximate and ultimate factors affecting these heterochronic variants in natural populations. The production of each alternative phenotype is based on a genotype x environment interaction and research suggests that differences in the environment can produce paedomorphs through several ontogenetic pathways. No single advantage accounts for the maintenance of this polymorphism. Rather, the interplay of different costs and benefits explains the success of the polyphenism across variable environments. Facultative paedomorphosis allows individuals to cope with habitat variation, to take advantage of environmental heterogeneity in the presence of open niches, and to increase their fitness. This process is expected to constitute a first step towards speciation events, and is also an example of biodiversity at the intraspecific level. The facultative paedomorphosis system is thus ripe for future studies encompassing ecology, evolution, behaviour, endocrinology, physiology, and conservation biology. Few other systems have been broad enough to provide varied research opportunities on topics as diverse as phenotypic plasticity, speciation, mating behaviour, and hormonal regulation of morphology. Further research on facultative paedomorphosis will provide needed insight into these and other important questions facing biologists. © 2005 Cambridge Philosophical Society.","Adaptation; Amphibians; Evolution; Facultative paedomorphosis; Heterochrony; Polyphenism","Animals; Ecology; Evolution; Female; Life Cycle Stages; Male; Models, Biological; Salamandra; Salamandridae; Sex Characteristics; Species Specificity; Amphibia; Amphiuma means; Caudata; Salamandridae; biodiversity; ecology; environment; evolution; genetic polymorphism; genotype; habitat structure; hormonal regulation; life history; mating; newt; nonhuman; phenotype; review; salamander; species differentiation; animal; biological model; female; growth, development and aging; life cycle; male; physiology; salamander; sexual development; species difference","English","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33644824039"
"de Olde E.M.; Valentinov V.","de Olde, Evelien M. (56403399000); Valentinov, Vladislav (15123350000)","56403399000; 15123350000","The Moral Complexity of Agriculture: A Challenge for Corporate Social Responsibility","2019","Journal of Agricultural and Environmental Ethics","32","3","","413","430","17","20","10.1007/s10806-019-09782-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067260383&doi=10.1007%2fs10806-019-09782-3&partnerID=40&md5=9de194df96a2ecfc313609102d8bf861","Over the past decades, the modernization of agriculture in the Western world has contributed not only to a rapid increase in food production but also to environmental and societal concerns over issues such as greenhouse gas emissions, soil quality and biodiversity loss. Many of these concerns, for example those related to animal welfare or labor conditions, are stuck in controversies and apparently deadlocked debates. As a result we observe a paradox in which a wide range of corporate social responsibility (CSR) initiatives, originally seeking to reconnect agriculture and society, frequently provoke debate, conflict, and protests. In order to make sense of this pattern, the present paper contends that Western agriculture is marked by moral complexity, i.e., the tendency of multiple legitimate moral standpoints to proliferate without the realistic prospect of a consensus. This contention is buttressed by a conceptual framework that draws inspiration the contemporary business ethics and systems-theoretic scholarship. From the systems-theoretic point of view, the evolution of moral complexity is traced back to the processes of agricultural modernization, specialization, and differentiation, each of which suppresses the responsiveness of the economic and legal institutions to the full range of societal and environmental concerns about agriculture. From the business ethics point of view, moral complexity is shown to prevent the transformation of the ethical responsibilities into the legal and economic responsibilities despite the ongoing institutionalization of CSR. Navigating moral complexity is shown to require moral judgments which are necessarily personal and contestable. These judgments are implicated in those CSR initiatives that require dealing with trade-offs among the different sustainability issues. © 2019, The Author(s).","Agriculture; Corporate social responsibility; Moral complexity; Sustainability; Systems theory","Animalia; agriculture; conceptual framework; corporate social responsibility; environmental protection; ethics; morality; sustainability; theoretical study","English","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85067260383"
"McMichael A.J.; Butler C.J.D.","McMichael, Anthony J. (57203046736); Butler, Colin J.D. (35483225500)","57203046736; 35483225500","The effect of environmental change on food production, human nutrition and health","2005","Asia Pacific Journal of Clinical Nutrition","14","SUPPL.","","39","47","8","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750584771&partnerID=40&md5=8860fa4705aa73a2a4e192a03706ea72","Worldwide degradation of arable land, freshwater depletion and the loss of biodiversity are three of several ongoing 'global environmental changes' that endanger the biosphere's human utility - including food supplies, an essential, 'utility'. The degradation of local and regional food-producing environmental assets is a familiar story historically. Today, however, pressures and stresses on food production are becoming global in scale, reflecting (in addition to the above three) a range of large-scale human-induced environmental changes, such as global climate change and environmental nitrification. Human-induced biodiversity loss reflects land-use changes, other aspects of the over-exploitation of productive terrestrial and marine ecosystems, climate change, and the trans-boundary migration of pollutants and exotic species. Indeed, biodiversity loss has, for long, been an inevitable trade-off against the increased capacity to produce food for larger human populations - as occurs in agrarian societies when forests are replaced by crops. More recently, trade, technology, knowledge dissemination, and the worldwide transformation of ecosystems have further boosted food supplies for the increasing human population. (That this abundance often fails to improve health, for example by fuelling obesity, is another story.) Recent time-series data show an unusual, continuing, decline in per capita yields of grain, globally, since 1996. Detrimental environmental changes may be a contributory explanation, but causal attribution is complex. The links between environmental changes, food production, nutrient status and human health are similarly complex, and difficult to demonstrate epidemiologically. These environmental (particularly ecosystem) changes mostly affect the health of populations via complex, indirect pathways, and these impacts are modulated by local social-economic conditions.","Climate change; Environmental change; Food production; Health; Population","","English","Conference paper","Final","","Scopus","2-s2.0-33750584771"
"Paal J.; Turb M.; Köster T.; Rajandu E.; Liira J.","Paal, Jaanus (6701810577); Turb, Margit (37125054700); Köster, Tiina (7004858422); Rajandu, Elle (25923475100); Liira, Jaan (56228985100)","6701810577; 37125054700; 7004858422; 25923475100; 56228985100","Forest land-use history affects the species composition and soil properties of old-aged hillock forests in Estonia","2011","Journal of Forest Research","16","3","","244","252","8","20","10.1007/s10310-011-0258-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959651259&doi=10.1007%2fs10310-011-0258-5&partnerID=40&md5=35a7886803e97de338166a060f50aa23","Decisions regarding forest typology, management and protection are often based on the structures of present-day forests, ignoring their successional history. Forests growing on kames, eskers and various moraine hillocks common in regions with Holocene glaciation are good examples of this approach. In Estonia, these forests locally persist as fragments of continuous primary forest, but usually they are situated on former slash-and-burn areas (bushlands) or reforested agricultural land. Our aim was to elucidate the strength of the effect of long-term land-use history on the present-day vegetation compositions of mature hillock forests and their soil chemistry. It appeared that even the mature secondary hillock forests are still distinct from historically continuous stands in terms of species composition. We discovered connections between stand history and species content in hillock forests as well as transformed soil properties. The carbon and nitrogen contents in the humus horizons of secondary forests are lower while their carbon-nitrogen ratios are higher than in continuous forests. The relationship between vegetation and stand history is demonstrated by the higher proportions of anthropophytic and apophytic species in the herb layer of the secondary forests. The presence of species that are tolerant of anthropogenic impact on the secondary hillock forests floor can also be partly explained by the effect of different species in the tree and shrub layers, gaps in the tree canopy, and the boundary effect caused by the small areas of forest patches, neighboring grasslands or fields. The extinction debt in secondary communities should also be considered. © 2011 The Japanese Forest Society and Springer.","Bushland; Forest continuity; Hemerophoby; Slash-and-burn; Stand composition","Agriculture; Biodiversity; Forests; Land Use; Physical Properties; Plants; Reforestation; Soil; Estonia; Glacial geology; Land use; Plant extracts; Soils; Vegetation; Bushland; Forest continuity; Hemerophoby; Slash-and-burn; Stand composition; agricultural land; anthropogenic effect; bushland; esker; forest soil; glaciation; grassland; hill; Holocene; humus; land use; montane forest; patchiness; secondary forest; shifting cultivation; soil chemistry; stand structure; succession; vegetation history; Forestry","English","Article","Final","","Scopus","2-s2.0-79959651259"
